domain_id,keyword,device,country_code,language,last_updated,added,position,volume,sticky,history,last_result,url,tags,updating,last_update_error,sc_data,uid,city,created_at,updated_at
1,keyword_1_0,desktop,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,1,166,true,"{""2024-11-27 05:11:14"":92,""2024-11-26 05:11:14"":1,""2024-11-25 05:11:14"":99,""2024-11-24 05:11:14"":52,""2024-11-23 05:11:14"":59,""2024-11-22 05:11:14"":26,""2024-11-21 05:11:14"":63,""2024-11-20 05:11:14"":10,""2024-11-19 05:11:14"":69,""2024-11-18 05:11:14"":53,""2024-11-17 05:11:14"":48,""2024-11-16 05:11:14"":34,""2024-11-15 05:11:14"":72,""2024-11-14 05:11:14"":33,""2024-11-13 05:11:14"":51,""2024-11-12 05:11:14"":25,""2024-11-11 05:11:14"":33,""2024-11-10 05:11:14"":36,""2024-11-09 05:11:14"":48,""2024-11-08 05:11:14"":41}",[],http://example.com/1,[],false,{},2024-11-27T05:11:14.774Z,uid_1,City 1,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_0,mobile,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,1,895,false,"{""2024-11-27 05:11:14"":92,""2024-11-26 05:11:14"":1,""2024-11-25 05:11:14"":99,""2024-11-24 05:11:14"":52,""2024-11-23 05:11:14"":59,""2024-11-22 05:11:14"":26,""2024-11-21 05:11:14"":63,""2024-11-20 05:11:14"":10,""2024-11-19 05:11:14"":69,""2024-11-18 05:11:14"":53,""2024-11-17 05:11:14"":48,""2024-11-16 05:11:14"":34,""2024-11-15 05:11:14"":72,""2024-11-14 05:11:14"":33,""2024-11-13 05:11:14"":51,""2024-11-12 05:11:14"":25,""2024-11-11 05:11:14"":33,""2024-11-10 05:11:14"":36,""2024-11-09 05:11:14"":48,""2024-11-08 05:11:14"":41}",[],http://example.com/1,[],true,{},2024-11-27T05:11:14.774Z,uid_1,City 1,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_1,desktop,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,4,325,true,"{""2024-11-27 05:11:14"":49,""2024-11-26 05:11:14"":62,""2024-11-25 05:11:14"":22,""2024-11-24 05:11:14"":62,""2024-11-23 05:11:14"":88,""2024-11-22 05:11:14"":57,""2024-11-21 05:11:14"":58,""2024-11-20 05:11:14"":58,""2024-11-19 05:11:14"":72,""2024-11-18 05:11:14"":17,""2024-11-17 05:11:14"":65,""2024-11-16 05:11:14"":80,""2024-11-15 05:11:14"":50,""2024-11-14 05:11:14"":79,""2024-11-13 05:11:14"":88,""2024-11-12 05:11:14"":29,""2024-11-11 05:11:14"":4,""2024-11-10 05:11:14"":84,""2024-11-09 05:11:14"":55,""2024-11-08 05:11:14"":32}",[],http://example.com/2,[],false,{},2024-11-27T05:11:14.774Z,uid_2,City 2,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_1,mobile,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,4,195,false,"{""2024-11-27 05:11:14"":49,""2024-11-26 05:11:14"":62,""2024-11-25 05:11:14"":22,""2024-11-24 05:11:14"":62,""2024-11-23 05:11:14"":88,""2024-11-22 05:11:14"":57,""2024-11-21 05:11:14"":58,""2024-11-20 05:11:14"":58,""2024-11-19 05:11:14"":72,""2024-11-18 05:11:14"":17,""2024-11-17 05:11:14"":65,""2024-11-16 05:11:14"":80,""2024-11-15 05:11:14"":50,""2024-11-14 05:11:14"":79,""2024-11-13 05:11:14"":88,""2024-11-12 05:11:14"":29,""2024-11-11 05:11:14"":4,""2024-11-10 05:11:14"":84,""2024-11-09 05:11:14"":55,""2024-11-08 05:11:14"":32}",[],http://example.com/2,[],true,{},2024-11-27T05:11:14.774Z,uid_2,City 2,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_2,desktop,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,12,350,false,"{""2024-11-27 05:11:14"":16,""2024-11-26 05:11:14"":52,""2024-11-25 05:11:14"":54,""2024-11-24 05:11:14"":75,""2024-11-23 05:11:14"":59,""2024-11-22 05:11:14"":34,""2024-11-21 05:11:14"":66,""2024-11-20 05:11:14"":20,""2024-11-19 05:11:14"":58,""2024-11-18 05:11:14"":61,""2024-11-17 05:11:14"":12,""2024-11-16 05:11:14"":59,""2024-11-15 05:11:14"":22,""2024-11-14 05:11:14"":23,""2024-11-13 05:11:14"":47,""2024-11-12 05:11:14"":22,""2024-11-11 05:11:14"":18,""2024-11-10 05:11:14"":42,""2024-11-09 05:11:14"":38,""2024-11-08 05:11:14"":83}",[],http://example.com/3,[],true,{},2024-11-27T05:11:14.774Z,uid_3,City 3,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_2,mobile,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,12,438,true,"{""2024-11-27 05:11:14"":16,""2024-11-26 05:11:14"":52,""2024-11-25 05:11:14"":54,""2024-11-24 05:11:14"":75,""2024-11-23 05:11:14"":59,""2024-11-22 05:11:14"":34,""2024-11-21 05:11:14"":66,""2024-11-20 05:11:14"":20,""2024-11-19 05:11:14"":58,""2024-11-18 05:11:14"":61,""2024-11-17 05:11:14"":12,""2024-11-16 05:11:14"":59,""2024-11-15 05:11:14"":22,""2024-11-14 05:11:14"":23,""2024-11-13 05:11:14"":47,""2024-11-12 05:11:14"":22,""2024-11-11 05:11:14"":18,""2024-11-10 05:11:14"":42,""2024-11-09 05:11:14"":38,""2024-11-08 05:11:14"":83}",[],http://example.com/3,[],true,{},2024-11-27T05:11:14.774Z,uid_3,City 3,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_3,desktop,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,0,474,true,"{""2024-11-27 05:11:14"":91,""2024-11-26 05:11:14"":89,""2024-11-25 05:11:14"":4,""2024-11-24 05:11:14"":54,""2024-11-23 05:11:14"":72,""2024-11-22 05:11:14"":86,""2024-11-21 05:11:14"":0,""2024-11-20 05:11:14"":2,""2024-11-19 05:11:14"":98,""2024-11-18 05:11:14"":10,""2024-11-17 05:11:14"":7,""2024-11-16 05:11:14"":42,""2024-11-15 05:11:14"":43,""2024-11-14 05:11:14"":74,""2024-11-13 05:11:14"":22,""2024-11-12 05:11:14"":92,""2024-11-11 05:11:14"":3,""2024-11-10 05:11:14"":73,""2024-11-09 05:11:14"":87,""2024-11-08 05:11:14"":76}",[],http://example.com/4,[],false,{},2024-11-27T05:11:14.774Z,uid_4,City 4,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_3,mobile,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,0,455,false,"{""2024-11-27 05:11:14"":91,""2024-11-26 05:11:14"":89,""2024-11-25 05:11:14"":4,""2024-11-24 05:11:14"":54,""2024-11-23 05:11:14"":72,""2024-11-22 05:11:14"":86,""2024-11-21 05:11:14"":0,""2024-11-20 05:11:14"":2,""2024-11-19 05:11:14"":98,""2024-11-18 05:11:14"":10,""2024-11-17 05:11:14"":7,""2024-11-16 05:11:14"":42,""2024-11-15 05:11:14"":43,""2024-11-14 05:11:14"":74,""2024-11-13 05:11:14"":22,""2024-11-12 05:11:14"":92,""2024-11-11 05:11:14"":3,""2024-11-10 05:11:14"":73,""2024-11-09 05:11:14"":87,""2024-11-08 05:11:14"":76}",[],http://example.com/4,[],false,{},2024-11-27T05:11:14.774Z,uid_4,City 4,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_4,desktop,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,0,746,false,"{""2024-11-27 05:11:14"":98,""2024-11-26 05:11:14"":83,""2024-11-25 05:11:14"":98,""2024-11-24 05:11:14"":60,""2024-11-23 05:11:14"":0,""2024-11-22 05:11:14"":16,""2024-11-21 05:11:14"":3,""2024-11-20 05:11:14"":70,""2024-11-19 05:11:14"":53,""2024-11-18 05:11:14"":16,""2024-11-17 05:11:14"":54,""2024-11-16 05:11:14"":60,""2024-11-15 05:11:14"":3,""2024-11-14 05:11:14"":13,""2024-11-13 05:11:14"":55,""2024-11-12 05:11:14"":58,""2024-11-11 05:11:14"":52,""2024-11-10 05:11:14"":77,""2024-11-09 05:11:14"":90,""2024-11-08 05:11:14"":45}",[],http://example.com/5,[],false,{},2024-11-27T05:11:14.774Z,uid_5,City 5,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
1,keyword_1_4,mobile,US,English,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z,0,292,false,"{""2024-11-27 05:11:14"":98,""2024-11-26 05:11:14"":83,""2024-11-25 05:11:14"":98,""2024-11-24 05:11:14"":60,""2024-11-23 05:11:14"":0,""2024-11-22 05:11:14"":16,""2024-11-21 05:11:14"":3,""2024-11-20 05:11:14"":70,""2024-11-19 05:11:14"":53,""2024-11-18 05:11:14"":16,""2024-11-17 05:11:14"":54,""2024-11-16 05:11:14"":60,""2024-11-15 05:11:14"":3,""2024-11-14 05:11:14"":13,""2024-11-13 05:11:14"":55,""2024-11-12 05:11:14"":58,""2024-11-11 05:11:14"":52,""2024-11-10 05:11:14"":77,""2024-11-09 05:11:14"":90,""2024-11-08 05:11:14"":45}",[],http://example.com/5,[],true,{},2024-11-27T05:11:14.774Z,uid_5,City 5,2024-11-27T05:11:14.774Z,2024-11-27T05:11:14.774Z
